filepath,duration,analyse_harmonics,get_number_sylls,get_number_words,pauses,get_max_intensity,analyse_intensity,analyse_pitch,analyse_pitch_range,analyse_shimmer,analyse_jitter,spectral_slope,mean_spectral_rolloff,get_energy
hsuk4xsys4w61_processed_19,10.0,9.216217744323217,6.0,3.2,1.6,101.37845968776602,67.61647300141824,150.47891295636708,365.3868186240692,0.1317228808205131,0.0255954096289579,-0.0138912264954035,2128.7934759285267,0.0230436200534362
hsuk4xsys4w61_processed_2,10.0,11.80080355596757,5.8,3.6,1.4,105.75502469162934,68.76864759965109,161.491805870301,185.25029692756317,0.1388276039038048,0.0210345716677721,-0.0183116223923776,1947.792919982834,0.0300593609331165
hsuk4xsys4w61_processed_20,5.533015873015873,8.22990030806723,3.2532080245797936,2.349539128863184,1.265136454003253,101.5345867804316,68.2489306057806,156.76667399314675,229.8310855984265,0.1442320096291159,0.0239314734498151,-0.0165417930111719,2076.846011050113,0.0146987430133546
hsuk4xsys4w61_processed_4,10.0,9.11464211153844,4.6,2.3,1.3,101.71202342421834,68.72926016745922,167.12430874829477,418.19479145639497,0.1332194482483573,0.0219710203931174,-0.018097114994352,2236.888947409488,0.0301618115118083
hsuk4xsys4w61_processed_5,10.0,4.491204331660282,,,0.6,106.4993276582903,71.33867029305962,237.9217853877396,500.7684515516759,0.1726465935873746,0.0289991338507903,-0.0259401309463049,1617.6081168071162,0.0545174610181614
hsuk4xsys4w61_processed_6,10.0,9.957982227597295,5.5,2.9,1.4,102.57512060329876,69.19256305209959,159.515763391208,378.2279431187046,0.1357982806597306,0.0224501357778479,-0.020781076822156,2287.250190191948,0.0330399827417034
hsuk4xsys4w61_processed_7,10.0,9.38106177739971,5.2,2.9,2.2,100.80795219624994,68.48127579052286,168.21265792647822,421.8264068741756,0.1317926499411962,0.0258670288979909,-0.0185888175356354,2210.2462254213483,0.0282022452511203
hsuk4xsys4w61_processed_8,10.0,9.480133699737529,4.8,3.2,1.5,101.45511232397266,68.83248677895244,168.54000935864997,479.6300266880685,0.1400586119707443,0.0239182683412774,-0.0192258946932626,2002.8028928682895,0.0305399506898635
hsuk4xsys4w61_processed_9,10.0,10.035557609669436,5.2,3.2,1.6,102.9060840367198,68.21048441995798,153.23848283526215,326.6472990262711,0.1320994447591576,0.0236438595096243,-0.0164670889231045,1986.032474055868,0.0264032428788971
hv7owj844s461_processed_0,10.0,4.079029685930277,0.3,0.4,0.1,113.69599271259958,82.4412238150832,359.32131218755194,479.1707427837997,0.1202660813652353,0.0261546300648921,-0.3021219828229204,1431.4589673064918,0.6982756719591368
hv7owj844s461_processed_1,10.0,0.8390003204242273,,,0.1,105.84525484498852,75.53028272728325,358.31162823516433,372.7226516164778,0.2395038488765556,0.0602114743174757,-0.0776468220144021,1123.0432174625469,0.1429935260574469
hv7owj844s461_processed_2,10.0,1.6905635270458528,,,0.1,107.49247600418634,76.71542872226324,318.96531841203705,355.2356182540424,0.1955773089772469,0.0482857587157153,-0.098880891118576,1132.465643531523,0.1876880811487741
hv7owj844s461_processed_3,10.0,1.664037948782665,,,0.1,112.14763276770331,80.26537861957173,338.7145985222917,384.8856259360496,0.1770836874372192,0.0423486233464782,-0.2090126642409681,1687.214102489076,0.428294657812381
hv7owj844s461_processed_4,10.0,2.811020749626693,,,0.1,113.8407485056655,82.40015762535026,346.5102702190974,416.2426315035499,0.159737773161965,0.0385365700631488,-0.3473279677414885,1426.660278167915,0.6956837555211532
hv7owj844s461_processed_5,10.0,3.979249934417941,,,0.1,114.41084307294813,82.05831685559039,396.3700266330046,460.8922970456241,0.1485207479920313,0.0321264622317248,-0.3334944733397668,1481.3203466370162,0.6397614378997193
hv7owj844s461_processed_6,10.0,-0.2562670172083452,,,0.1,110.67203526569278,77.2233021443268,349.7439911208419,316.1298613150707,0.2099689320278814,0.0427829119925259,-0.1211707139005555,1774.7651860955057,0.2107220332301173
hv7owj844s461_processed_7,10.0,-0.5939164858998373,,,0.1,111.16214640935802,78.7436986468293,249.21759222100195,313.85985472572094,0.2049568689245132,0.0506521248179825,-0.1444940273135137,1700.635436173533,0.300289123540099
hv7owj844s461_processed_8,10.0,1.279128915607753,,,0.1,111.45467965196104,80.17137374602217,329.92890350815355,492.4269722847176,0.1499745028456363,0.0390494486734683,-0.1766018594186191,2354.181906406055,0.4181675018656484
hv7owj844s461_processed_9,3.353015873015873,3.650212849516864,,,0.2982403817476886,114.12691165124345,82.64600773736714,341.0358863629306,153.94446323948853,0.1172400125582462,0.0225491155309738,-0.395778681074034,2358.3603188894053,0.2450612093035985
hx99824cif971_processed_0,10.0,11.210907157651356,1.7,0.8,0.4,106.1753109435696,75.65853923673498,183.1525801346557,468.1756356902906,0.1131274671086865,0.0212479577710579,-0.0893808961187737,1156.159171153246,0.147447473448609
hx99824cif971_processed_1,10.0,10.281391723260963,0.4,0.4,0.5,105.74418237933412,73.61224336380529,176.99045335825164,318.48238223695137,0.1025025974233829,0.0205523965567624,-0.0530690105072867,1450.95364193196,0.0921572495527604
