filepath,duration,analyse_harmonics,get_number_sylls,get_number_words,pauses,get_max_intensity,analyse_intensity,analyse_pitch,analyse_pitch_range,analyse_shimmer,analyse_jitter,spectral_slope,mean_spectral_rolloff,get_energy
03mglec8fez51_processed_18,10.0,8.217182789220079,4.2,2.7,0.4,98.77095742250077,66.91707877832054,196.5008621168038,506.89260119894016,0.15200111221175794,0.03192362910081882,-0.012864957292023483,1165.0067542524969,0.020056662290682044
03mglec8fez51_processed_19,10.0,8.55505824725361,2.1,1.3,0.1,102.57679159115243,68.35528875853515,211.68016194775277,520.4905037489168,0.1670813218994833,0.03847298587244772,-0.01856698505703366,1212.4937821863296,0.027403820341288035
03mglec8fez51_processed_2,10.0,8.38128466463933,NA,NA,0.3,97.40419128153798,66.49420114553423,292.02413804768065,384.2523470905973,0.15384319753608516,0.04782609533781463,-0.014874323051293024,348.0049352372035,0.017860018413251962
03mglec8fez51_processed_20,10.0,9.391523798907581,1.9,1.2,0.4,105.21127299985332,70.36943891410775,249.08505197254283,489.9627014082762,0.16667102539898251,0.037057614385121077,-0.01932146712007852,991.929034019975,0.043313991451000525
03mglec8fez51_processed_21,10.0,10.919901370009443,5.1,3.6,0.8,100.80879173742149,66.70797039763261,201.14549214613555,243.83832411026142,0.12662218650647977,0.025061053122186448,-0.012490510592860297,1287.8481975655432,0.018659806780851794
03mglec8fez51_processed_22,10.0,11.238123654167207,3.1,2.2,0.6,103.1173994919643,66.98564401207165,212.92981961507166,353.68675297248046,0.11272318352250411,0.025638324666915773,-0.012913656289756582,1241.2109375,0.019888872228960585
03mglec8fez51_processed_23,10.0,10.49583314340118,4.5,3.6,0.2,104.43059892009884,68.29333278406264,199.35811869917146,508.5115763405881,0.13001365228033324,0.027272170319736885,-0.017721182610135063,1295.071224446005,0.026921665171578447
03mglec8fez51_processed_24,10.0,8.224545866721007,0.9,0.6,0.1,108.39173287734195,69.04833561333527,236.32299238880154,521.595214897782,0.16807857934841214,0.03284135728515756,-0.020908571469826213,950.8402582709114,0.03210485307574466
03mglec8fez51_processed_25,4.930022675736962,10.061655300817009,4.259634888438134,3.245436105476674,0.20283975659229211,101.5226809255907,68.3180423354962,248.58530567200225,436.7089007056786,0.14959031071952059,0.043709094388482306,-0.018397387602151115,970.0096420094936,0.013392532189885968
03mglec8fez51_processed_3,10.0,10.192817976693986,2.3,1.6,0.8,108.2936486585271,69.20615225736532,147.16157530908941,487.76206978273643,0.12730340413874242,0.025204623026432445,-0.02335833731302939,773.2637669709737,0.03322568428350981
03mglec8fez51_processed_4,10.0,12.53558163378219,4.8,3.0,0.3,104.3589558160209,68.96759145309406,186.41812012994163,338.1473596127995,0.10087218100739065,0.02128670851561499,-0.020163826829478853,1390.1452530040574,0.031382354389119425
03mglec8fez51_processed_5,10.0,10.066667011887194,3.6,2.5,0.4,100.14560704224806,64.61478106718273,177.58175685064134,219.76428375193615,0.13867652172547731,0.030187238368227957,-0.007667304448842374,1175.7538184691011,0.011634465614396806
03mglec8fez51_processed_6,10.0,10.163087369596177,4.0,2.9,1.0,99.51631029144919,65.63346724538366,215.93676641298651,441.9766039928774,0.1480120816499883,0.0320618272598732,-0.009803844987168934,1161.3577510533707,0.014710299806004816
03mglec8fez51_processed_7,10.0,5.442863493685983,1.8,1.4,0.1,97.50504341607498,65.5131289526065,108.87566355526701,320.89723630399766,0.16869917541390742,0.029009279819899515,-0.011282556891894002,674.365783005618,0.01425606300244787
03mglec8fez51_processed_8,10.0,4.720432641106832,NA,NA,0.1,97.1403829468413,66.02018946726383,146.26665125925513,523.7508810754695,0.16063036211487544,0.025605116377123354,-0.013560037378009048,401.06544066011236,0.016011529687020812
03mglec8fez51_processed_9,10.0,9.791751764785591,3.2,2.0,0.2,106.35383631581371,69.31042139678817,199.30738502093584,514.2436928562624,0.13767778149086474,0.027253124843407996,-0.02232830268475832,1021.9458343086767,0.033955531172522264
0653ipqy7vd71_processed_0,10.0,7.316915968249847,2.8,1.8,0.5,108.49193641562675,75.06443918793833,109.50939737212695,524.9558812179768,0.15494903004524932,0.03266985697021488,-0.08007972392095968,1255.8319434691011,0.1278639569179892
0653ipqy7vd71_processed_1,10.0,5.330588710472023,2.5,2.2,0.1,106.48798677622847,74.40927361371227,172.88514530802956,493.59925703407333,0.17951073995173955,0.033933884836181476,-0.046065714115182996,1191.4745240324594,0.10992574430912402
0653ipqy7vd71_processed_2,10.0,5.198195887764345,3.6,3.0,0.1,105.67324812368057,74.30805862628482,163.1085720675807,502.8079282107122,0.17326653566816153,0.03545387094675299,-0.043108161440957554,1069.8827393492509,0.10745227126329943
0653ipqy7vd71_processed_3,10.0,6.5722096940136225,NA,NA,0.1,104.95032203856567,73.9745178484963,169.9105993427361,509.49076476706,0.1769913900582953,0.02794520289786022,-0.03398976333807249,1182.576954588015,0.10039754302200163
0653ipqy7vd71_processed_4,10.0,6.150334481988449,0.4,0.2,0.1,105.2040219632365,73.77396651783359,334.0829595846235,504.2864694999861,0.17061030373698188,0.04479707955053666,-0.03315103686932148,1137.864168812422,0.09613799782435914
0653ipqy7vd71_processed_5,10.0,6.348618964357562,2.9,2.6,0.1,105.49665253910213,74.34953221533374,300.15522484660727,497.41334397778337,0.1968091030413693,0.04916629317733406,-0.038277625253215,1106.7226757568665,0.10941953151247193
0653ipqy7vd71_processed_6,2.733015873015873,4.8085025518999265,NA,NA,0.3658982802780827,104.85930004258576,72.58367894342274,136.63764469175246,501.70230255807155,0.18550273037680573,0.0450269483306373,-0.02218131276861554,984.4307398687215,0.020027209599938943
065hfyuu0ya61_processed_0,10.0,5.193746322983109,0.7,0.4,0.1,108.99234112696006,77.97137891411965,111.98030579257875,517.6054997491268,0.17055040586761216,0.02639232805935647,-0.15843183501662828,665.6931521145443,0.24995354271483666
065hfyuu0ya61_processed_1,10.0,6.067687359445436,0.7,0.3,0.1,108.51336631057848,74.1547178243514,153.17468359701377,502.4738292448283,0.18219234922580196,0.03653512492689561,-0.07361185415560852,575.4178126950686,0.10403975995719762
065hfyuu0ya61_processed_2,8.863038548752835,6.371026336532958,0.4513144533453684,0.2256572266726842,0.1128286133363421,109.58211400552958,75.2855164574254,145.3145743169347,346.9495211163327,0.19696674673218023,0.03342647249820704,-0.10027107196096087,531.1660981514085,0.11994844690838363
08ss0a3zs0061_processed_0,10.0,2.5199478695121686,NA,NA,0.1,113.08443140809567,77.58435001543299,210.234422919125,510.42675399021846,0.1483972707195305,0.03127331763514822,-0.10566357153066074,1374.149622542135,0.22812002846790225
095x9borh0z61_processed_0,10.0,9.34394876490991,NA,NA,1.0,104.20855166679802,67.73544985483892,197.2305769445516,506.56102397601586,0.1337424671261425,0.011845044822344346,-0.013614137732180665,1411.3894497112983,0.023623810229158455
095x9borh0z61_processed_1,10.0,3.789687356571521,0.2,0.1,0.1,101.28301883695542,68.58733104469005,173.9294220175605,508.2548412909598,0.1686353933860002,0.026062457462377543,-0.017570284049587534,1423.31119303995,0.02874228663172592
