filepath,duration,analyse_harmonics,get_number_sylls,get_number_words,pauses,get_max_intensity,analyse_intensity,analyse_pitch,analyse_pitch_range,analyse_shimmer,analyse_jitter,spectral_slope,mean_spectral_rolloff,get_energy
upw3o9xs71p61_processed_25,10.0,8.292332268183097,0.8,0.6,0.1,109.91050744656434,77.6367370588543,194.2282970882189,524.2152677656385,0.1391012541831176,0.0193519799692794,-0.1874029635950199,775.7380910580524,0.2335426442874741
upw3o9xs71p61_processed_26,0.8270294784580499,5.460349123856767,,,1.2091898428053205,97.67324353366756,69.3608245055336,496.9784062265614,360.9866920763078,0.2130708965501153,0.0642489614589112,-0.0253348323378863,950.7783348880596,0.0028400833360744
upw3o9xs71p61_processed_4,10.0,5.489997145314982,0.6,0.5,0.1,108.373735363842,77.23132314838324,228.4867971336011,524.095288366939,0.2058585375585035,0.0268509166123739,-0.1331514895773901,799.9314821317104,0.2104089454148973
upw3o9xs71p61_processed_5,10.0,1.905536722937358,,,0.1,108.45873307692416,76.3077141633118,200.7550972172437,515.752330751507,0.1818070084781124,0.0474516337895874,-0.1318576453308981,433.5565650358926,0.1692678651543101
upw3o9xs71p61_processed_6,10.0,2.400909072860866,0.6,0.5,0.1,107.78464046010714,75.3657643688493,178.58650543829197,512.724371984733,0.1939470305046681,0.0276935092323661,-0.0971303947006349,773.438719179151,0.1374597612644526
upw3o9xs71p61_processed_7,10.0,3.4569979575152576,,,0.1,110.25022473544416,76.77826104756005,227.59993388245027,522.8462644079125,0.2165706887735731,0.0401736012490865,-0.1180373052742676,813.1028840901997,0.1895302459299419
upw3o9xs71p61_processed_8,10.0,6.43537571292181,0.5,0.3,0.1,109.21010132159871,75.69739835475286,200.32327192428716,517.4814592340488,0.1819206332723794,0.0300631514820758,-0.0921970199058613,981.156976630774,0.1501760592445498
upw3o9xs71p61_processed_9,10.0,6.2283685559030815,,,0.1,108.63284382095762,74.14077253416114,207.6598761057966,503.42332679565936,0.2097867135556326,0.0335935848815378,-0.0693146304873867,932.3203173767166,0.1061219643191968
uqufqavw1sy61_processed_0,10.0,8.083786955584657,3.4,2.1,0.5,94.30519597276007,64.62743584740471,175.3593643608197,511.1508879064914,0.124057984559988,0.0236561879117072,-0.0076454021565613,1483.1198550639824,0.0117195375332375
uqufqavw1sy61_processed_3,10.0,12.027222199137553,3.9,2.6,0.4,99.83694045586452,68.61384673535157,163.4411172694647,418.9363829266339,0.1246055254050651,0.0225952697016177,-0.0215283846182379,911.6259704666044,0.0291993261622313
uqufqavw1sy61_processed_4,1.913015873015873,11.87711729259161,3.1364349189754317,2.6136957658128592,1.0454783063251438,99.89508108162276,70.31580757606896,168.2777304957985,145.21026869079702,0.1333403767052527,0.0202563745713408,-0.0310489755151342,824.7006899350649,0.0082053911282613
ut49qgxtzka71_processed_0,10.0,15.994126698665228,,,3.0,108.76028135603713,69.68228279920194,235.8099412685337,489.6501013905444,0.0975981822358423,0.0218571115365453,-0.0240218377775343,1456.4271467306492,0.0374899888917425
ut49qgxtzka71_processed_1,10.0,14.157458189672573,,,3.1,100.82717691959428,63.41912206938443,185.80326459064503,382.5823893109935,0.1045272562759335,0.0200225073113415,-0.0066372110205115,999.2270404182271,0.0090054650896927
ut49qgxtzka71_processed_2,10.0,5.9193885996806745,0.6,0.4,2.6,92.11354110772729,60.35184273776746,163.03013124132167,350.7384112663212,0.1507863534752128,0.0225920735541828,-0.0024600517639732,1235.8124122191011,0.0043307538007405
ut49qgxtzka71_processed_3,7.653015873015873,11.536283173820197,,,2.744021952175617,108.30883035300742,70.7306436947031,306.38822117539644,447.28843303334673,0.118421781113648,0.0222542854276766,-0.0260037379926762,1736.5065507748775,0.035947681515657
utkpnmjf64t51_processed_0,10.0,10.640898697817464,3.2,1.9,1.1,100.11126273067896,69.20661409761773,180.80944547688475,516.5436141305772,0.0946409657462173,0.0209707763235137,-0.0222429022130552,1283.5493718789014,0.0332067118537088
utkpnmjf64t51_processed_1,10.0,15.088082270162207,2.5,1.5,1.3,100.61963053855528,69.97833594927899,210.0481850792978,451.1949838579115,0.0850235052181125,0.0232816246396724,-0.0238283862528516,1429.334547635768,0.039715020491077
utkpnmjf64t51_processed_3,10.0,6.269932006422484,3.6,2.6,0.7,100.29279716936318,69.26696113428306,119.08150392791669,124.56735776901988,0.1098373397900137,0.0230287318907184,-0.0201155133674147,1309.617250897316,0.0336934372711354
utkpnmjf64t51_processed_4,0.693015873015873,8.141353349358976,7.215007215007215,1.443001443001443,1.443001443001443,96.77526275774612,68.63496075718305,107.78213967613958,23.05229634081517,0.098890643129184,0.0184348366280738,-0.0165471333774152,1362.400599888393,0.0019424330423256
uvknf21t4gf61_processed_0,10.0,10.857701811768576,2.6,2.0,0.1,107.33256437472926,71.99393769942155,247.9647474626948,255.42728454432867,0.1139984039741943,0.0166410478291574,-0.0294306912863787,1095.2008231897628,0.0629645217223733
uvknf21t4gf61_processed_1,9.523038548752837,10.624116138565324,2.10017851517379,1.4701249606216529,0.1050089257586894,109.04708755301805,72.87441012476447,261.5929971524829,519.8293178362065,0.1056037753364912,0.0198353745351462,-0.0305248983580382,1484.9611934796856,0.0735224530315754
uy1pvvhw4fy51_processed_0,10.0,3.430438563294327,,,0.1,103.14724204720332,71.59587396200052,96.67431448771374,208.34236637993408,0.1935441893629251,0.0699985102869981,-0.0434195044633848,545.0261148174158,0.0574500602231904
uy1pvvhw4fy51_processed_1,9.557006802721087,-0.3670509215995871,,,0.1046353458198179,104.60297878864723,67.92964738982457,113.92262341436634,154.03183156945332,0.2007491670741069,0.0490016943229787,-0.0131814104765944,823.7801892950391,0.0236043143136679
uyh2fvtr6lb71_processed_0,10.0,11.003768400697163,0.7,0.5,0.1,104.63298363309696,69.31835181781135,254.49395056721244,459.66867211043336,0.1052460177657343,0.0135291951126411,-0.0175206551056377,1703.784575920724,0.0340659741241737
uyh2fvtr6lb71_processed_1,10.0,11.816929064514111,1.7,1.2,0.1,105.06496492573432,71.90118555939583,286.88634312972306,409.5070052096326,0.1044758202503352,0.0136555242810129,-0.0248119137768277,2490.844574165106,0.0617240219366406
uyh2fvtr6lb71_processed_2,10.0,10.613924074546974,2.4,1.5,0.1,104.06624066232072,72.45071890251413,273.1835964341055,303.31214359525,0.1098673207551693,0.0161962453950222,-0.0296372328031536,2468.825589107366,0.0701865504259525
uyh2fvtr6lb71_processed_3,10.0,13.831889982628692,2.9,2.3,0.7,106.14497639987408,72.94602635996594,307.83749920440283,388.9520815394599,0.0916517844513902,0.0118920477930112,-0.0337388814063091,2157.660590277778,0.0784892926234218
uyh2fvtr6lb71_processed_4,10.0,11.796398343975982,0.1,0.1,0.3,104.90905053023168,70.36974354284389,289.172642289051,260.408522679001,0.1057013864703988,0.0158073088599071,-0.0176040108593559,2214.9699350421347,0.0433113107744381
uyh2fvtr6lb71_processed_5,1.26,8.622926110556465,0.7936507936507936,1.5873015873015872,0.7936507936507936,97.67746868436711,64.81165194558015,217.7532474510136,61.68266656885464,0.1140728195953241,0.0138399059399485,-0.0041425627933223,2073.706296410891,0.0014551377669995
uypv850e04s61_processed_0,10.0,12.351275834654324,1.3,0.7,0.1,106.21196413236922,74.89961069941795,157.2953769954966,425.47907741538,0.1276221593917968,0.0198542573020531,-0.085476438953835,885.033234823658,0.1229066866450496
uypv850e04s61_processed_1,10.0,11.89617546950826,2.0,1.5,0.2,105.90878853221656,75.23974630797291,194.10267458890803,465.45313916106977,0.1433575434224884,0.0238819489306765,-0.0941816278331083,757.2681365090511,0.1329349417483754
uypv850e04s61_processed_2,10.0,14.183373108975152,,,0.1,105.91325789187891,75.6754202430559,196.20161578916367,498.6327933730812,0.1312602601097307,0.0205929682161339,-0.1074074873352073,716.5542583489388,0.1476104285281423
uypv850e04s61_processed_3,10.0,11.439562139298618,3.0,2.2,0.2,104.99852941747228,75.06177427206255,184.76806941476977,496.0606497007083,0.1463900970925943,0.0264785627038019,-0.0898850170554408,914.3502262796504,0.1289405081494187
uypv850e04s61_processed_4,10.0,12.993911683527951,,,0.1,106.21806468017036,75.64794648734733,206.01081097207057,486.58952211193287,0.1432811643667791,0.0251028730356074,-0.1064424188886336,936.9940406523096,0.1471022331538891
uypv850e04s61_processed_5,10.0,12.454464488621488,,,0.1,105.83386136825672,75.31198616508384,199.81972085435092,491.5971036904343,0.1329867345448404,0.0241706750689736,-0.0958298943688956,1122.7932857365793,0.1353600515946891
uypv850e04s61_processed_6,10.0,12.04072578850012,1.6,1.3,0.1,105.2575782268634,75.28118068078733,196.47960292701592,476.0454647544655,0.1457858515056052,0.025227375960452,-0.0951606562892816,968.0855473626716,0.1349018364617998
uypv850e04s61_processed_7,10.0,11.725733255614808,,,0.1,105.78020967031372,75.16415664427339,177.7915952178102,488.7390313144297,0.1444070037355474,0.0220022568365706,-0.0925512530239905,989.4047235877028,0.1310467950992024
